Kommun,Kod,Län,coatOfArms
Hedemora,2083,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/c/c5/Hedemora_vapen.svg
Avesta,2084,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/8/86/Avesta_vapen.svg
Ludvika,2085,Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/b/b2/Ludvika_vapen.svg
Ockelbo,2101,Gävleborgs län,https://upload.wikimedia.org/wikipedia/commons/f/f0/Ockelbo_vapen.svg
Hofors,2104,Gävleborgs län,https://upload.wikimedia.org/wikipedia/commons/6/60/Hofors_vapen.svg
Ovanåker,2121,Gävleborgs län,https://upload.wikimedia.org/wikipedia/commons/b/b2/Ovan%C3%A5ker_vapen.svg
Nordanstig,2132,Gävleborgs län,https://upload.wikimedia.org/wikipedia/commons/3/35/Nordanstig_vapen.svg
Ljusdal,2161,Gävleborgs län,https://upload.wikimedia.org/wikipedia/commons/0/02/Ljusdal_vapen.svg
Gävle,2180,Gävleborgs län,https://upload.wikimedia.org/wikipedia/commons/6/69/G%C3%A4vle_vapen.svg
Sandviken,2181,Gävleborgs län,
Söderhamn,2182,Gävleborgs län,https://upload.wikimedia.org/wikipedia/commons/1/12/S%C3%B6derhamn_vapen.svg
Bollnäs,2183,Gävleborgs län,https://upload.wikimedia.org/wikipedia/commons/3/3a/Bolln%C3%A4s_vapen.svg
Hudiksvall,2184,Gävleborgs län,https://upload.wikimedia.org/wikipedia/commons/d/d4/Hudiksvall_vapen.svg
Ånge,2260,Västernorrlands län,https://upload.wikimedia.org/wikipedia/commons/d/d1/%C3%85nge_vapen.svg
Timrå,2262,Västernorrlands län,https://upload.wikimedia.org/wikipedia/commons/b/b8/Timr%C3%A5_vapen.svg
Härnösand,2280,Västernorrlands län,https://upload.wikimedia.org/wikipedia/commons/7/71/H%C3%A4rn%C3%B6sand_vapen.svg
Sundsvall,2281,Västernorrlands län,https://upload.wikimedia.org/wikipedia/commons/0/00/Sundsvall_kommunvapen_-_Riksarkivet_Sverige.png
Kramfors,2282,Västernorrlands län,https://upload.wikimedia.org/wikipedia/commons/f/fb/Kramfors_vapen.svg
Sollefteå,2283,Västernorrlands län,https://upload.wikimedia.org/wikipedia/commons/f/fe/Sollefte%C3%A5_vapen.svg
Örnsköldsvik,2284,Västernorrlands län,https://upload.wikimedia.org/wikipedia/commons/5/5b/%C3%96rnsk%C3%B6ldsvik_vapen.svg
Ragunda,2303,Jämtlands län,https://upload.wikimedia.org/wikipedia/commons/0/02/Ragunda_vapen.svg
Bräcke,2305,Jämtlands län,https://upload.wikimedia.org/wikipedia/commons/a/ac/Br%C3%A4cke_vapen.svg
Krokom,2309,Jämtlands län,https://upload.wikimedia.org/wikipedia/commons/6/69/Krokom_vapen.svg
Strömsund,2313,Jämtlands län,https://upload.wikimedia.org/wikipedia/commons/c/cf/Str%C3%B6msund_vapen.svg
Åre,2321,Jämtlands län,https://upload.wikimedia.org/wikipedia/commons/5/5c/%C3%85re_vapen.svg
Berg,2326,Jämtlands län,https://upload.wikimedia.org/wikipedia/commons/b/bc/Berg_vapen.svg
Härjedalen,2361,Jämtlands län,https://upload.wikimedia.org/wikipedia/commons/5/5f/H%C3%A4rjedalen_vapen.svg
Östersund,2380,Jämtlands län,https://upload.wikimedia.org/wikipedia/commons/c/c7/%C3%96stersund_vapen.svg
Nordmaling,2401,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/1/17/Nordmaling_vapen.svg
Bjurholm,2403,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/4/43/Bjurholm_vapen.svg
Vindeln,2404,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/5/55/Vindeln_vapen.svg
Robertsfors,2409,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/9/98/Robertsfors_vapen.svg
Norsjö,2417,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/8/82/Norsj%C3%B6_vapen.svg
Malå,2418,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/2/20/Mal%C3%A5_vapen.svg
Storuman,2421,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/3/3a/Storuman_vapen.svg
Sorsele,2422,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/6/63/Sorsele_vapen.svg
Dorotea,2425,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/8/8f/Dorotea_vapen.svg
Vännäs,2460,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/3/37/V%C3%A4nn%C3%A4s_vapen.svg
Vilhelmina,2462,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/8/84/Vilhelmina_vapen.svg
Åsele,2463,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/b/b1/%C3%85sele_vapen.svg
Umeå,2480,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/9/94/Ume%C3%A5_vapen.svg
Lycksele,2481,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/e/e4/Lycksele_vapen.svg
Skellefteå,2482,Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/4/45/Skellefte%C3%A5_vapen.svg
Arvidsjaur,2505,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/2/2d/Arvidsjaur_vapen.svg
Arjeplog,2506,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/2/23/Arjeplog_vapen.svg
Jokkmokk,2510,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/e/e0/Jokkmokk_vapen.svg
Överkalix,2513,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/8/84/%C3%96verkalix_vapen.svg
Kalix,2514,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/3/34/Kalix_vapen.svg
Övertorneå,2518,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/9/9c/%C3%96vertorne%C3%A5_vapen.svg
Pajala,2521,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/c/ca/Pajala_vapen.svg
Gällivare,2523,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/f/fe/G%C3%A4llivare_kommunvapen.svg
Älvsbyn,2560,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/2/2f/%C3%84lvsbyn_vapen.svg
Luleå,2580,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/c/cf/Lule%C3%A5_vapen.svg
Piteå,2581,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/0/0a/Pite%C3%A5_vapen.svg
Boden,2582,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/1/1a/Boden_vapen.svg
Haparanda,2583,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/2/23/Haparanda_vapen.svg
Kiruna,2584,Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/3/3d/Kiruna_vapen.svg
